Headline,Body ID,Stance
"New York's bike lanes are not working",91987,unrelated
"Speech can be limited for public workers",92777,unrelated
"Same-sex colleges are outdated",90238,discuss
"Colleges do not need humanities programs",94106,discuss
"Turkey belongs to NATO",92635,unrelated
"Affirmative actions should be based on income",90047,unrelated
"Comment sections have failed",90044,unrelated
"Companies can be trusted",90156,unrelated
"Iran doesn't remain a threat",92996,disagree
"It should be illegal to declaw your cat",91300,unrelated
"Felons should be allowed to vote",93121,unrelated
"School librarians are expendable",94143,unrelated
"College students' votes do matter in an election",93178,discuss
"Prostituion is safer when it's legal",92346,unrelated
"Do not stop taxing capital gains",91864,agree
"Obamacare is not working",93812,unrelated
"Foreign language classes should be mandatory in college",94325,unrelated
"Nations should not recognize a Palestinian state",91679,disagree
"Prostituion is safer when it's legal",90846,agree
"Greece will destroy the Euro Zone",90589,unrelated
"Voting should be mandatory",94355,unrelated
"Iran doesn't remain a threat",92417,unrelated
"Christians have created a harmful atmosphere for gays",92011,unrelated
"Felons should be allowed to vote",93379,unrelated
"College should be free",90179,unrelated
"Electric cars will not succeed",90965,unrelated
"Christians have created a harmful atmosphere for gays",91919,unrelated
"No, it can't denounce",91208,unrelated
"Parents' religious beliefs should allow them to refuse medical care for their children",92292,unrelated
"Computer-generated imagery is enhancing cinema",93129,unrelated
"Farms could survive without illegal labor",92294,unrelated
"Medicare doesn't need to be reformed",90159,unrelated
"Prostituion is safer when it's legal",90830,agree
"Colleges do not need humanities programs",91247,unrelated
"Marijuana is a gateway drug",90110,unrelated
"Felons should be allowed to vote",90173,unrelated
"Supreme court is not too powerful",92502,discuss
"The U.S. Embassy should be moved from Tel Aviv to Jerusalem",90455,unrelated
"Companies can be trusted",90293,disagree
"Veganism is good for everyone",93036,unrelated
"Supreme court is not too powerful",92499,disagree
"Europe should not shun refugees",91802,unrelated
"Supporting Israel helps",92378,unrelated
"Iran doesn't remain a threat",92025,unrelated
"Home schoolers deserve a tax break",91781,unrelated
"Home schoolers deserve a tax break",90137,unrelated
"Colleges do not need humanities programs",92491,unrelated
"The threat has been exaggerated",92972,disagree
"Colleges do not need humanities programs",93317,unrelated
"Marijuana is a gateway drug",93424,unrelated
"Same-sex colleges are outdated",91421,unrelated
"Medicare doesn't need to be reformed",90409,unrelated
"Same-sex colleges are outdated",93627,unrelated
"No, it can't denounce",90928,unrelated
"Vaccination should be mandatory for all children",93244,unrelated
"Hamas-Fatah unity can lead to mideast peace",93872,unrelated
"Nuclear power is not the answer to climate change",93466,unrelated
"Doping should be allowed",91656,discuss
"Overcrowded national parks should have restricted access",92527,discuss
"Comment sections have failed",92822,unrelated
"Voting should be a constitutional right",92346,unrelated
"We should disband NATO",90542,unrelated
"Computer-generated imagery is enhancing cinema",92447,unrelated
"Comment sections have failed",94307,unrelated
"Big banks are not out of control",92723,unrelated
"We don't need libraries",91996,unrelated
"Veganism is good for everyone",91236,unrelated
"Europe should not shun refugees",92107,disagree
"High school should last six years",93841,unrelated
"Privatization is a bad deal for cities and states",91662,unrelated
"Keep selling arms to Taiwan",90662,unrelated
"The world is becoming safer",90318,agree
"Colleges do not need humanities programs",91928,unrelated
"Drug addicts should be forced into treatment",94239,unrelated
"Nations should not recognize a Palestinian state",90221,unrelated
"TFA has not raised the status of teachers",92695,unrelated
"Colleges do not need humanities programs",93422,unrelated
"Farm subsidies do not protect national security",93903,disagree
"Legislation should not protect obese",93827,unrelated
"Felons should be allowed to vote",94222,discuss
"Felons should be allowed to vote",93847,unrelated
"Government should not regulate airline industry again",91504,disagree
"Police officers should be required to wear cameras",91731,unrelated
"Drug addicts should be forced into treatment",92620,unrelated
"Christians have created a harmful atmosphere for gays",94188,unrelated
"Farms could survive without illegal labor",90423,unrelated
"NATO should defend nonmbers",94131,unrelated
"Do not stop taxing capital gains",91876,agree
"Comment sections have failed",92411,unrelated
"The U.S. should not work with Assad to fight ISIS",92413,unrelated
"Abolish Birthright Citizenship",93542,disagree
"Women should delay motherhood",94320,unrelated
"Nuclear power is not the answer to climate change",92473,unrelated
"Tracking kids does not invade privacy",93914,unrelated
"Comment sections have failed",92316,disagree
"Home schoolers deserve a tax break",90469,unrelated
"Salt should have a place at the table",93914,unrelated
"Speech can be limited for public workers",90921,disagree
"The threat has been exaggerated",93822,unrelated
"Colleges do not need humanities programs",91227,unrelated
"Government should grade colleges",92282,unrelated
"Miss America is bad for women",92909,unrelated
"Europe should not shun refugees",92111,disagree
"Extreme parenting is counterproductive",93862,unrelated
"Parents' religious beliefs should allow them to refuse medical care for their children",93059,unrelated
"Greece will destroy the Euro Zone",91047,unrelated
"Vaccination should be mandatory for all children",92339,unrelated
"Big banks are not out of control",93409,unrelated
"Schoold day should be longer",90104,unrelated
"Electric cars will not succeed",92792,unrelated
"Beachfront homes should have to open their land to the public",93653,unrelated
"Companies should be allowed to patent genes",94312,unrelated
"Immigration is not really a problem",92871,unrelated
"Christians have created a harmful atmosphere for gays",92604,unrelated
"Supporting Israel helps",91802,discuss
"College free for everyone",91853,unrelated
"Unpaid intenship exploit college students",91241,unrelated
"Companies can excel without making workers miserable",93466,unrelated
"Home-schoolers should not play for high school teams",90330,unrelated
"Wal-Mart can make us healthier",91002,unrelated
"Women should delay motherhood",93825,unrelated
"NATO should defend nonmbers",90101,unrelated
"Supporting Israel helps",93229,unrelated
"Unpaid intenship exploit college students",92743,unrelated
"Guns should be permitted on college campuses",93652,disagree
"Farms could survive without illegal labor",91397,unrelated
"Colleges do not need humanities programs",93255,unrelated
"Rich politicans are less corruptible",92314,unrelated
"Salt should have a place at the table",91416,agree
"Do not stop taxing capital gains",93130,unrelated
"Greece's anti-austerity government can succeed",92850,unrelated
"3-D printing will change the world",91598,unrelated
"Voting should be mandatory",91246,unrelated
"Foreign language classes should be mandatory in college",90382,unrelated
"New York's bike lanes are not working",90505,agree
"No, it can't denounce",91281,unrelated
"3-D printing will change the world",90157,disagree
"We don't need the C.I.A.",90588,agree
"Farm subsidies do not protect national security",91382,unrelated
"Young people are being irresponsible by delaying the rituals of adult life",94418,unrelated
"Obamacare is not working",92515,unrelated
"California doesn't need high-speed rail",91258,unrelated
"Parents should make vacation with kids",92783,agree
"Dual citizenship should be allowed",92077,agree
"Electric cars will not succeed",93300,disagree
"TFA has not raised the status of teachers",92429,agree
"Obamacare is not sustainable",94131,disagree
"Foreign language classes should be mandatory in college",90583,unrelated
"Christians have created a harmful atmosphere for gays",93724,unrelated
"Miss America is bad for women",90547,unrelated
"Parents' religious beliefs should allow them to refuse medical care for their children",91346,unrelated
"Schoold day should be longer",92192,unrelated
"TFA has not raised the status of teachers",90149,unrelated
"Do not stop taxing capital gains",90631,unrelated
"Beachfront homes should have to open their land to the public",92278,unrelated
"Home schoolers deserve a tax break",94383,disagree
"Foreign language classes should be mandatory in college",93469,agree
"Iran doesn't remain a threat",91841,unrelated
"Nuclear power is not the answer to climate change",92396,unrelated
"It should be illegal to declaw your cat",94181,unrelated
"Queen Elizabeth II should not step down",93325,unrelated
"Legislation should not protect obese",94275,agree
"Drone attacks make more harm",93672,unrelated
"The bar is not too low to get into law school",91532,unrelated
"Prostituion is safer when it's legal",90839,discuss
"TFA has not raised the status of teachers",93520,unrelated
"Christians have created a harmful atmosphere for gays",93467,unrelated
"Privatization is a bad deal for cities and states",90196,agree
"No, it can't denounce",91584,unrelated
"Christians have created a harmful atmosphere for gays",93260,unrelated
"Unpaid intenship exploit college students",94089,unrelated
"Police is reacting to dangers",92950,unrelated
"Voting should be mandatory",93048,unrelated
"People are getting dumber",92226,unrelated
"Parents' religious beliefs should allow them to refuse medical care for their children",92017,unrelated
"Do not stop taxing capital gains",91822,disagree
"The bar is not too low to get into law school",93284,unrelated
"Fees are necessary",91498,unrelated
"Comment sections have failed",91370,unrelated
"Electric cars will not succeed",91275,unrelated
"Same-sex colleges are outdated",92682,unrelated
"Parents should control what kids learn at school",93001,unrelated
"We should manipulate our dreams",93830,agree
"The U.S. Embassy should be moved from Tel Aviv to Jerusalem",91983,discuss
"US should attack Syria",91611,unrelated
"Same-sex colleges are outdated",93545,unrelated
"Marijuana is a gateway drug",93101,unrelated
"It should be illegal to declaw your cat",93691,unrelated
"Fees are necessary",91567,unrelated
"Legislation should not protect obese",94240,disagree
"The bar is not too low to get into law school",90542,unrelated
"No, it can't denounce",93174,unrelated
"College should be free",93930,agree
"Extreme parenting is counterproductive",91898,agree
"Extreme parenting is counterproductive",93471,unrelated
"Businesses should be allowed to have new employees sign noncompete deals",93494,unrelated
"Nations should not recognize a Palestinian state",94087,unrelated
"Vaccination should be mandatory for all children",91780,unrelated
"The U.S. should lift sanctions with Cuba",90607,discuss
"Felons should be allowed to vote",94200,agree
"We don't need to hear from candidate's spouse",90629,disagree
"Government should not regulate airline industry again",92267,unrelated
"Internet gambling should be legalized",92849,discuss
"Charter schools are cherry-picking students",91614,unrelated
"No, it can't denounce",93500,unrelated
"Do not stop taxing capital gains",92115,unrelated
"Parents should control what kids learn at school",90055,unrelated
"Veganism is good for everyone",93151,unrelated
"Greece should abandon Euro",94095,unrelated
"Marijuana is a gateway drug",93773,unrelated
"Do not stop taxing capital gains",90340,unrelated
"We do not need more advice about eating well",92170,unrelated
"Online classes are not the best way to teach",94270,unrelated
"Modern men are manly enough",92643,unrelated
"Farm subsidies do not protect national security",93920,disagree
"Colleges do not need humanities programs",92447,unrelated
"Legislation should not protect obese",90949,unrelated
"Streaming is good for musicians",90299,unrelated
"Turkey belongs to NATO",93526,unrelated
"The new apps is a way for people to get into popular restaurants",93947,unrelated
"Do not stop taxing capital gains",93099,unrelated
"No, it can't denounce",91633,unrelated
"It should be illegal to declaw your cat",90710,agree
"California doesn't need high-speed rail",91496,unrelated
"Police is reacting to dangers",91386,unrelated
"TFA has not raised the status of teachers",92443,agree
"Iran doesn't remain a threat",93561,unrelated
"Streaming is good for musicians",92983,disagree
"TFA has not raised the status of teachers",90620,unrelated
"Guns should be permitted on college campuses",93227,unrelated
"It should be illegal to declaw your cat",90720,discuss
"Not to tip",90464,unrelated
"Technological innovation is creating better worlds",93194,disagree
"US should attack Syria",90980,unrelated
"Christians have created a harmful atmosphere for gays",93402,unrelated
"Colleges do not need humanities programs",94082,discuss
"Drone attacks make more harm",93352,agree
"The bar is not too low to get into law school",90472,unrelated
"Young people are being irresponsible by delaying the rituals of adult life",92286,unrelated
"Google is a harmful monopoly",91227,unrelated
"Europe should not shun refugees",92128,agree
"Women should be encouraged to have kids at home",92741,agree
"Queen Elizabeth II should not step down",92482,discuss
"The U.S. should lift sanctions with Cuba",90715,unrelated
"Privatization is a bad deal for cities and states",92894,unrelated
"Home schoolers deserve a tax break",92080,unrelated
"Police is reacting to dangers",93744,disagree
"Not to tip",91761,unrelated
"Europe should not shun refugees",91167,unrelated
"Marijuana is a gateway drug",91029,unrelated
"California doesn't need high-speed rail",90877,unrelated
"Supporting Israel helps",94107,unrelated
"We don't need libraries",90881,unrelated
"Wealthy colleges deserve tax breaks",91380,unrelated
"Drug addicts should be forced into treatment",94427,unrelated
"Christians have created a harmful atmosphere for gays",93108,agree
"Organic food is not worth the expense",93016,unrelated
"Not to tip",93718,unrelated
"Medicare doesn't need to be reformed",91360,unrelated
"No, it can't denounce",94326,unrelated
"Rim should be raised",93250,unrelated
"Tenure protects bad teachers",93036,unrelated
"Brazil should not postpone Olympics",92319,unrelated
"No, it can't denounce",92603,disagree
"Rock Hall of Fame doesn't matter",91180,unrelated
"Social media encourage romance",94068,unrelated
"Keep selling arms to Taiwan",93680,unrelated
"Christians have created a harmful atmosphere for gays",94361,unrelated
"Online classes are not the best way to teach",92932,unrelated
"Companies can be trusted",94078,unrelated
"Beachfront homes should have to open their land to the public",90471,unrelated
"Internet is becoming too censored",90183,unrelated
"Iran doesn't remain a threat",92844,unrelated
"Overcrowding is a legitimate threat",90000,unrelated
"Tennis strung is not too tight",91764,unrelated
"TFA has not raised the status of teachers",90135,unrelated
"Greece's anti-austerity government can succeed",94442,unrelated
"Kurds are allies in SyriaAllies",90722,unrelated
"Unpaid intenship exploit college students",91532,unrelated
"Women should delay motherhood",90044,unrelated
"No, it can't denounce",92587,disagree
"No, it can't denounce",90023,unrelated
"Non-Muslims help women by wearing hijabs",94422,unrelated
"Colorado didn't go too far with pot",90982,unrelated
"Unpaid intenship exploit college students",92161,unrelated
"Greece will destroy the Euro Zone",91962,disagree
"Extreme parenting is counterproductive",93496,unrelated
"Beachfront homes should have to open their land to the public",90810,unrelated
"Felons should be allowed to vote",92852,unrelated
"No, it can't denounce",94328,unrelated
"NATO should defend nonmbers",93661,unrelated
"Vaccination should be mandatory for all children",90000,unrelated
"Non-Muslims help women by wearing hijabs",91337,unrelated
"Social media encourage romance",93355,unrelated
"Speech can be limited for public workers",91225,unrelated
"The U.S. Embassy should be moved from Tel Aviv to Jerusalem",91965,discuss
"Young people are being irresponsible by delaying the rituals of adult life",90221,unrelated
"Guns should be permitted on college campuses",90580,unrelated
"It is fair to rate professors online",94002,disagree
"Salt should have a place at the table",91423,agree
"Casinos are not too much of a gamble",90434,unrelated
"Abolish Birthright Citizenship",91067,unrelated
"Do not stop taxing capital gains",91240,unrelated
"We don't need to hear from candidate's spouse",93204,unrelated
"Economists are not overrated",94042,disagree
"Legislation should not protect obese",90139,unrelated
"Foreign language classes should be mandatory in college",91047,unrelated
"Students should live off campus",91358,unrelated
"The bar is not too low to get into law school",90177,discuss
"Happy hour should be banned",92102,unrelated
"No, it can't denounce",92988,unrelated
"Public universities are neglecting in-state students",94308,unrelated
"Christians have created a harmful atmosphere for gays",93021,discuss
"Parents should make vacation with kids",91152,unrelated
"Europe should not shun refugees",92838,unrelated
"Farms could survive without illegal labor",94078,unrelated
"We don't need to hear from candidate's spouse",90633,disagree
"Christians have created a harmful atmosphere for gays",91304,unrelated
"Farms could survive without illegal labor",90021,unrelated
"Big banks are not out of control",94044,unrelated
"Farms could survive without illegal labor",93732,agree
"We don't need to hear from candidate's spouse",90631,agree
"Police is reacting to dangers",92468,unrelated
"Do not drop sports program in undergraduate schools",94289,agree
"Europe should not shun refugees",92118,disagree
"College should be free",93337,unrelated
"Overcrowding is a legitimate threat",90694,unrelated
"No, it can't denounce",90254,unrelated
"The U.S. should lift sanctions with Cuba",92234,unrelated
"Google is a harmful monopoly",91549,agree
"Non-Muslims help women by wearing hijabs",92390,unrelated
"Supporting Israel helps",90792,unrelated
"Felons should be allowed to vote",92109,unrelated
"Vaccination should be mandatory for all children",93058,unrelated
"Comment sections have failed",92401,disagree
"Do not drop sports program in undergraduate schools",90363,unrelated
"Jail record should be an employer's first impression",91844,unrelated
"Unpaid intenship exploit college students",93897,unrelated
"Speech can be limited for public workers",92049,unrelated
"Miss America is bad for women",91628,agree
"Not to tip",93285,unrelated
"Public preschool is a smart investment",92739,unrelated
"Immigration is not really a problem",90320,unrelated
"Medical websites are dangerous",92263,discuss
"Fees are necessary",91836,unrelated
"It is fair to rate professors online",90717,unrelated
"The U.S. Embassy should be moved from Tel Aviv to Jerusalem",91970,disagree
"Prostituion is safer when it's legal",90855,discuss
"All immigrants should get ID cards",90293,unrelated
"The world is becoming safer",92924,unrelated
"Tenure protects bad teachers",92709,discuss
"College free for everyone",92761,unrelated
"Police is reacting to dangers",92720,unrelated
"Not to tip",93446,unrelated
"Germany should abandon the Euro",90908,unrelated
"Drug addicts should be forced into treatment",94015,unrelated
"'Starchitects' are not ruining cities",93243,unrelated
"Hamas-Fatah unity can lead to mideast peace",93390,agree
"Amazon will kill off publishers",90403,unrelated
"Do not stop taxing capital gains",92868,unrelated
"Legislation should not protect obese",90356,unrelated
"Internet gambling should be legalized",90477,unrelated
"Organic food is not worth the expense",93310,unrelated
"Helping condo developers help the city",91199,unrelated
"Foreign language classes should be mandatory in college",94063,unrelated
"Companies can excel without making workers miserable",93316,unrelated
"Foreign language classes should be mandatory in college",94353,unrelated
"Comment sections have failed",92346,disagree
"Christians have created a harmful atmosphere for gays",92324,unrelated
"Women should be encouraged to have kids at home",92747,disagree
"Companies should be allowed to patent genes",91718,unrelated
"Supporting Israel helps",91062,unrelated
"Affirmative actions should be based on income",90542,agree
"Economists are not overrated",90864,unrelated
"Immigration is not really a problem",91776,unrelated
"Women should delay motherhood",93404,unrelated
"Russia can be a partner",91585,unrelated
"We don't need libraries",91701,unrelated
"Home schoolers deserve a tax break",90059,unrelated
"Women should delay motherhood",94199,unrelated
"Olympics are more trouble",94156,unrelated
"Mother Teresa should be canonized",92237,discuss
"We don't need libraries",90239,unrelated
"Farm subsidies do not protect national security",92240,unrelated
"We should manipulate our dreams",92609,unrelated
"Veganism is good for everyone",92962,unrelated
"Home schoolers deserve a tax break",93344,unrelated
"Rich politicans are less corruptible",91517,unrelated
"Young people are being irresponsible by delaying the rituals of adult life",90001,unrelated
"Overcrowding is a legitimate threat",93761,unrelated
"Women should be encouraged to have kids at home",93029,unrelated
"We do not need more advice about eating well",91050,disagree
"3-D printing will change the world",90969,unrelated
"The world is becoming safer",91840,unrelated
"Beachfront homes should have to open their land to the public",90995,agree
"Rich politicans are less corruptible",90672,unrelated
"Government should grade colleges",93473,unrelated
"Home-schoolers should not play for high school teams",91151,unrelated
"Russia can be a partner",92589,unrelated
"Mother Teresa should be canonized",92007,unrelated
"Mother Teresa should be canonized",92609,unrelated
"Marijuana is a gateway drug",90320,unrelated
"The world is becoming safer",92811,unrelated
"Colleges do not need humanities programs",91024,unrelated
"Amazon will kill off publishers",91374,unrelated
"Comment sections have failed",90865,unrelated
"Economists are not overrated",94052,agree
"Home schoolers deserve a tax break",91063,unrelated
"Public preschool is a smart investment",90331,discuss
"Beachfront homes should have to open their land to the public",94137,unrelated
"Marijuana is a gateway drug",92583,unrelated
"Abolish Birthright Citizenship",93526,agree
"Supporting Israel helps",91791,discuss
"Vaccination should be mandatory for all children",94382,unrelated
"Police officers should be required to wear cameras",92610,unrelated
"Veganism is good for everyone",90472,unrelated
"Tennis strung is not too tight",93428,unrelated
"Nations should not recognize a Palestinian state",92504,unrelated
"People are getting dumber",94284,unrelated
"Voting should be a constitutional right",93595,agree
"We don't need libraries",93409,unrelated
"Immigration is not really a problem",93078,unrelated
"Do not restrict use of the word 'natural' on food labels",90447,unrelated
"Home schoolers deserve a tax break",93696,unrelated
"Do not drop sports program in undergraduate schools",94290,agree
"Unpaid intenship exploit college students",92540,unrelated
"Medical websites are dangerous",92289,disagree
"Police is reacting to dangers",90175,unrelated
"It should be illegal to declaw your cat",90540,unrelated
"Not to tip",93884,unrelated
"Women should delay motherhood",90835,unrelated
"Not to tip",93675,unrelated
"Wal-Mart can make us healthier",90764,unrelated
"No, it can't denounce",94096,unrelated
"Students should be taught cursive",93733,unrelated
"Affirmative actions should be based on income",91240,unrelated
"Colorado didn't go too far with pot",94332,unrelated
"Vaccination should be mandatory for all children",94192,unrelated
"Greece's anti-austerity government can succeed",92686,unrelated
"Nations should not recognize a Palestinian state",91425,unrelated
"Comment sections have failed",93846,unrelated
"Keep selling arms to Taiwan",92357,unrelated
"The threat has been exaggerated",92970,disagree
"Marijuana is a gateway drug",91253,unrelated
"Border is not secure enough",94309,unrelated
"Big banks are not out of control",91122,disagree
"We don't need libraries",93857,unrelated
"Greece will destroy the Euro Zone",91958,discuss
"Companies can be trusted",91482,unrelated
"People are getting dumber",94185,unrelated
"Same-sex colleges are outdated",92378,unrelated
"Home schoolers deserve a tax break",93724,unrelated
"Medical websites are dangerous",90848,unrelated
"Germany should abandon the Euro",92717,disagree
"Drug addicts should be forced into treatment",91597,discuss
"Colorado didn't go too far with pot",94182,agree
"Big banks are not out of control",93520,unrelated
"Online classes are not the best way to teach",91989,agree
"Marijuana is a gateway drug",93964,unrelated
"Computer-generated imagery is enhancing cinema",90071,unrelated
"It should be illegal to declaw your cat",92087,unrelated
"Farms could survive without illegal labor",91676,unrelated
"Dual citizenship should be allowed",92783,unrelated
"Overcrowding is a legitimate threat",92383,unrelated
"It should be illegal to declaw your cat",93029,unrelated
"Marijuana is a gateway drug",93690,unrelated
"Obamacare is not working",91155,discuss
"Obamacare is not working",92291,unrelated
"Not to tip",90922,unrelated
"Modern men are manly enough",91888,unrelated
"Dual citizenship should be allowed",92079,agree
"The threat has been exaggerated",90604,unrelated
"Drone attacks make more harm",90094,unrelated
"Parents should control what kids learn at school",94200,unrelated
"Home schoolers deserve a tax break",94360,disagree
"Wal-Mart can make us healthier",93796,unrelated
"Modern men are manly enough",90605,unrelated
"TFA has not raised the status of teachers",91944,unrelated
"No, it can't denounce",90597,unrelated
"Medical websites are dangerous",92811,unrelated
"Police officers should be required to wear cameras",90349,disagree
"Voting should be mandatory",92605,unrelated
"Internet gambling should be legalized",92843,agree
"No, it can't denounce",92668,agree
"Farm subsidies do not protect national security",93761,unrelated
"Jail record should be an employer's first impression",90935,disagree
"No, it can't denounce",92599,agree
"Colleges do not need humanities programs",92423,unrelated
"It is fair to rate professors online",94270,unrelated
"Christians have created a harmful atmosphere for gays",92292,unrelated
"Royal Couple could be a modern family",90116,discuss
"The U.S. should lift sanctions with Cuba",90624,agree
"Veganism is good for everyone",90444,unrelated
"NATO should defend nonmbers",90656,discuss
"Overcrowded national parks should have restricted access",91569,unrelated
"Nations should not recognize a Palestinian state",93183,unrelated
"Non-Muslims help women by wearing hijabs",91045,unrelated
"Nations should not recognize a Palestinian state",90806,unrelated
"Wal-Mart can make us healthier",94326,unrelated
"Supporting Israel helps",91790,discuss
"Globalization has not ruined street style",91330,unrelated
"Police is reacting to dangers",92796,unrelated
"No, the laws should not be toughened",91262,agree
"Obamacare is not working",90299,unrelated
"Veganism is good for everyone",93906,unrelated
"Do not legitimize Frisbee",92467,unrelated
"Research papers are a useful excercise for college students",92421,unrelated
"Dual citizenship should be allowed",93533,unrelated
"Home schoolers deserve a tax break",93888,unrelated
"Europe should not shun refugees",92713,unrelated
"Organic food is not worth the expense",90750,disagree
"Marijuana is a gateway drug",93253,disagree
"Farms could survive without illegal labor",93697,agree
"Farm subsidies do not protect national security",92871,unrelated
"Tenure protects bad teachers",91786,unrelated
"Electric cars will not succeed",93314,disagree
"Social media encourage romance",90980,unrelated
"Drone attacks make more harm",93897,unrelated
"The threat has been exaggerated",93891,unrelated
"Government should grade colleges",93158,disagree
"Salt should have a place at the table",91407,agree
"Social media encourage romance",93201,disagree
"No, it can't denounce",93510,unrelated
"Drone attacks make more harm",93340,agree
"It is fair to rate professors online",91187,unrelated
"Amazon will kill off publishers",90117,unrelated
"Happy hour should be banned",92769,disagree
"Extreme parenting is counterproductive",93895,unrelated
"Modern men are manly enough",93416,unrelated
"Organic food is not worth the expense",93834,unrelated
"Vaccination should be mandatory for all children",91196,disagree
"Young people are being irresponsible by delaying the rituals of adult life",90436,discuss
"Mother Teresa should be canonized",91053,unrelated
"Prostituion is safer when it's legal",91644,unrelated
"Miss America is bad for women",92700,unrelated
"Rim should be raised",93966,disagree
"Comment sections have failed",90048,unrelated
"Parents should control what kids learn at school",90946,disagree
"Rich politicans are less corruptible",91932,unrelated
"Voting should be mandatory",94088,unrelated
"New York's bike lanes are not working",90395,unrelated
"Russia can be a partner",93883,agree
"It is harder to be a celebrity now",90762,unrelated
"Internet is becoming too censored",93280,disagree
"Salt should have a place at the table",93119,unrelated
"No, it can't denounce",93895,unrelated
"Christians have created a harmful atmosphere for gays",90468,unrelated
"Farms could survive without illegal labor",91519,unrelated
"Europe should not shun refugees",91188,unrelated
"Obamacare is not working",91626,unrelated
"It should be illegal to declaw your cat",90669,agree
"Medicare doesn't need to be reformed",94365,unrelated
"Comment sections have failed",91751,unrelated
"Schoold day should be longer",91608,unrelated
"Beachfront homes should have to open their land to the public",93946,unrelated
"Tenure protects bad teachers",94256,unrelated
"Prostituion is safer when it's legal",92450,unrelated
"Women should delay motherhood",91189,unrelated
"Abolish Birthright Citizenship",93549,disagree
"Research papers are a useful excercise for college students",92297,agree
"Parents' religious beliefs should allow them to refuse medical care for their children",90216,unrelated
"TFA has not raised the status of teachers",94231,unrelated
"Do not drop sports program in undergraduate schools",90351,unrelated
"No, it can't be used for fighting deseases",90409,discuss
"Tenure protects bad teachers",92700,disagree
"Speech can be limited for public workers",90910,disagree
"Christians have created a harmful atmosphere for gays",90910,unrelated
"Tenure protects bad teachers",91514,unrelated
"Parents should control what kids learn at school",94216,unrelated
"Christians have created a harmful atmosphere for gays",90700,unrelated
"Obamacare is not sustainable",91077,unrelated
"Nations should not recognize a Palestinian state",90758,unrelated
"Nations should not recognize a Palestinian state",93865,unrelated
"We don't need to hear from candidate's spouse",91886,unrelated
"Affirmative actions should be based on income",91090,unrelated
"Police is reacting to dangers",90618,unrelated
"Do not stop taxing capital gains",90208,unrelated
"State citizenship is not the answer to immigration reform",90006,agree
"Electric cars will not succeed",93015,unrelated
"Young people are being irresponsible by delaying the rituals of adult life",90222,unrelated
"Schoold day should be longer",93493,disagree
"Home-schoolers should not play for high school teams",94419,unrelated
"Drug addicts should be forced into treatment",91614,discuss
"Research papers are a useful excercise for college students",92310,agree
"Christians have created a harmful atmosphere for gays",94282,unrelated
"Medicare doesn't need to be reformed",92739,unrelated
"Supporting Israel helps",93527,unrelated
"Legislation should not protect obese",94288,agree
"Rich politicans are less corruptible",93130,unrelated
"Social media encourage romance",94042,unrelated
"Kurds are allies in SyriaAllies",91343,unrelated
"We do not need professional critics",91144,unrelated
"Parents' religious beliefs should allow them to refuse medical care for their children",93872,disagree
"Overcrowded national parks should have restricted access",91626,unrelated
"Voting should be mandatory",91904,unrelated
"Veganism is good for everyone",93506,unrelated
"Vaccination should be mandatory for all children",93240,unrelated
"Greece's anti-austerity government can succeed",90639,agree
"Same-sex colleges are outdated",92709,unrelated
