Body ID,articleBody
90023,"??? Reparations??? OK that means damage was done and the descendants of those who were brought to what is now the USA would need to prove they would be better off living under the Boko Haram. Keep in mind -- those who were slaves in the Americas were also slaves in Africa -- and were under the Islamic slave trade when sold to the Triangle Trade merchants. Thus slaves=slaves and they again need to show they, via their ancestors, are worse off by not having remained slaves in Africa. Then to there is apportionment ... would payments be made on the percentages of African DNA ? ??? or just based on skin color ??? Most people with African slave ancestors also have a larger percentage of DNA from Europe. Thus, only the slave percentage warrants consideration in the discussion -- the European portion is not due anything."
90024,"To those who feel wronged by the colonial slave trade: How much money per victim would be enough to satisfy the majority of those who feel affected? Would people of mixed race be given only a percentage of reparations equivalent to their African heritage? Would DNA tests be required for everybody? If the reparations wouldn't be race-based, what records would be used by people to prove that their ancestors were enslaved? Would descendants of white Quakers or poor white people (who were on record in the censuses as being non-slave owners) be required to pay too? Would descendants of white people from the North who fought in the Civil War against slavery have to pay as much as descendants of people from the Confederate states? What about financial accountability from descendants of Africans who are on record in the census as being slave-holders, or descendants of the tribespeople that helped facilitate the slave trade in Africa?"
90025,"As degrading and horrible as the act of human trafficking was during the transatlantic slave trade, nothing can be done to heal that wound. At the time it was acceptable; when the New World was discovered, once America declared it independence, slavery was abolished after much 'kicking and screaming'. Consider this: IN NO WAY, SHAPE OR FORM excusing the action, the benefit derived was the citizenship and cultural influence in helping shape the country - both good and bad. While the black community makes up ~18% of the population, issues like illegal immigration and immigration reform have a large impact on the economic well-being in the minority precincts around the country. The white-Hispanics who want open borders and demand job opportunities when they're not US citizens are the ones haranguing the legislators about amnesty and work permits. Issuing work permits and SSNs will only create more identity theft and fewer employment opportunities for the minority community. Is that any kind of reparation?"
90026,"My great grandfather was given his freedom by a white master (who we suspect was his father) during the course of the Civil War; he then worked and paid for my great grandmother's freedom. My family, like many black families, has had to pay extra at every turn for that which every other group of immigrants, when blended into the American diaspora, were rewarded with sustenance and eventual benevolence, without much ado."
90027,"A note regarding reparations for slavery: The West African slave trade was driven largely by internecine tribal warfare, in the course of which captured soldiers and civilians would often be sold as human chattel. European countries, followed by their western colonies, profited from this trade for several hundred years....a blot on their history, no doubt. But when they discontinued their part in the trade, and actively (in the case of Britain) sought to suppress it, there was an angry reaction from the indigenous rulers of West Africa, because slavery was the mainstay of their economies. The trade continued unabated (if perhaps less lucratively), as slaves were sold to the North African and Arab states, right up to the 1960s. The inter-African and Arab slave markets (exemplified by the famous slave market of Zanzibar) had in any case been the primary destination for West African slaves since time immemorial. So if there is to be compensation, perhaps it should come first from Ghana, Benin, Cote d'Ivoire and other West African countries....that is, from the descendants of those who sold so many of their so-called brothers and sisters into bondage, for as long as the rest of the world allowed it."
90028,"Blacks sold blacks into European/American slavery. The African tradition of slavery still persists in many parts of Africa. Mauritania leads with an estimated 10-20% of the population in slavery. Move on liberals ..... focus on today's slavery and the cultural issues that face Africa. How about focusing on today's sex slavery in the US in most major cities. Modern efforts to atone such as the Pigford Settlement are a total embarrassment and an under-reported scandal costing taxpayers $4-5 Billion. BTW - My family never owned slaves but a dozen of my family members fought in the civil War with two being killed, one in Savannah after the march to the sea and one on the second day of Gettysburg. Nobody paid my family any reparations. Move on!"
90029,"Nothing like giving a device that talks to the person to a patient with schizophrenia who may believe that others are able to read their thoughts or insert thoughts into their minds. I'm sure that would help the person feel a whole lot better."
90030,"Thanks for this article. I have had the wonderful fortune to have spent a good part of my professional life interacting with deaf-blind children and adults. All that I have learned from interacting with them supports Matthew Hertenstein's thoughts here. Touch conveys SO much. People without vision and hearing are experts in reading subtleties of touch in others. I have had to learn (and am still learning) to speak their language, and in the process have come to understand and appreciate deeply what Matthew Hertenstein means when he says that, 'Some people need other humans more than they think.' Perhaps not only some people, but all people. Touching a screen is nothing like touching another human being."
90031,"While reading Said's article, my thoughts on the need of professional critics was swayed. Valid points were made on the role of a professional critic, and the difference between them and amatuers in the theatre world. For the sake of the art it is necessary that the people critiquing it know exactly what they are talking about because there are a lot of little details that the average person with no theatre background wouldn't take into account. In some area's such as theatre, a professional critic is required."
90032,"Najla Said states, 'Criticism must be treated as a job that requires knowledge, skill and a certain degree of objectivity, like every other area of journalism.' I only read professional critic reviews, due to their experience and Knowledge. I find the random outburst of amateur critics annoying and incredible. Without the professional viewpoints there will not be any stable viewpoints of entertainment to consider."
90033,"At first the need for one person's opinion seemed unnecessary to me when we get so many for no cost but having critics is still very important in our lives; in the lives of the artist. To just the viewer it might not be so important for a professional critique but for the people behind the show it means a lot. Even if the critique isn't the most positive thing the artist still needs someone with experience to call them out on the things they might have not seen for themselves. Not just people that have time to post up ignorant comments."
90034,"As much as writers, directors and musicians may hate them, as much as the public may ignore them and as much as their craft wavers in the subjective. Critics - the good ones, educated and culturally matured - bring accountability and measurement to the arts. They save a reader a few bucks at the bookstore and theater, they also delineate borders between taste and the tasteless, separate writers such as Colum McCann from"
90035,"Constructive, professional criticisms are a must. I, for one, never read reader reviews. I don't know them, their reputations, nor their philosophies. Just as I am a professional in my field (resume writing and career coaching), I appreciate the work of professionals who critique literature, theater, and movies."
90036,"In my experience, bloggers are much kinder to productions than professional critics because they want their reviews to be publicized and linked to by theaters (and they want to continue to get free tickets). It's understandable, but it isn't much much of a service for theatergoers."
90037,"Based on the standards laid out above, there is only one film critic I know of that fits the true film critic role: Armond White. Love him or hate him, Armond writes from a place of history with a purpose to educate. For some reason, modern film boys take this as arrogance, as if some people can't actually be more knowledgable than others."
90038,"I've been a national critic of film, music, photography, books and cultural issues in general. I've always preferred the term 'writer about . . .' to 'critic' or 'reviewer' (as in 'writer about movies or 'writer about dance'). A cultural subject - a live performance, a book, a painting, a film - is simply a complex occasion for writing well about something. A piece of 'criticism' is worthwhile not because of its particular opinion, but because it is entertaining, provocative, and illuminating not just of the particular work but of the work's place in a larger historical, artistic and social context. Ultimately, any 'critic' stands or falls on self-revelation: the subject under scrutiny is as much his or her particular prejudices, enthusiasms and acuity as the work under discussion. Professional critics are crucial to cultural vitality in many ways - as champions of unfamiliar works, as stimulators of curiosity, as goads to clearer, deeper thinking about an artistic experience, to name a few. Unlike the casual opinionators who crowd the Internet, the best professional critics become longtime companions - passionate, prickly friends with whom one can agree, laugh and argue over many shared experiences."
90039,"Most of the clutter of opinion is just clutter. Among literary critics I have learned which ones are discerning, which ones full of hooey. As for the wisdom of the crowds, there are very likely wonderful and valuable opinions, but how much time it takes to wade through the blather! I wait for friends to tell me which websites are worth taking a look at. Time is NOT of the essence when it comes to finding good art whether in music, literature or painting.. For theater a timely notice might be helpful."
90040,"These are good points, but I have to say that this was my philosophy for five years and then I realized that my hands-off approach had not met the needs of my child who would have benefited from more organizational support and parental involvement. Some children do need a parent or adult there to contain the frustration and model working habits."
90041,"'When kids feel like homework has value and doing it is their own choice, it will seem more interesting and lead to greater achievement.' How do I convince my first grader to 'choose' something she just has to do and 'find value' in busy work? I am seriously concerned the homework will deaden her curiosity and love of learning. Play is the work of children. Not worksheets (five last night), not copying a word five times, not reading a leveled reader where the goal is to read the words rather than enjoy the content. It is true that 'even the most boring homework could help students' but not every night of the week."
90042,"There is a difference between doing the homework for them and helping them understand the principles. A parent should never do the work for them, but should help with understanding when required. establishing good study habits and monitoring results. Our children were completely different in dealing with homework. Our son was a last minute kid and our daughter started as soon as she got the assignment. Both did very well in school and have successful careers. They were just different and our goal was to assure they got their work done and understood it."
90043,"I completely agree with the comments posted by Mike Melcher. Milner used this as an opportunity to push his upcoming book. Yes equality is a problem and has been a problem throughout human existence. He avoided the issue. All kids need to do homework. It is a simple way to see if your child is learning, if they sit down in front of an assignment and have no idea what to do, you as a parent need to be aware of that and help them learn. It's part of the job description, at least in my book. And if I can teach my kid more than someone else, well that's life. Someone will always have more and someone will always have less. I still need to do the best I can."
90044,"This article is what's wrong with the whole discussion on education in this country. It's my job to make sure that my kid gets what is needed. It is not my job to make sure everybody else's kid get those things. That's why I work. So you just found out that life isn't fair. Better late than never."
90045,"I agree that homework creates rifts between children and parents and that kids should do more enjoyable things then homework after school when they are younger after all most people do not like coming home from work only to do work tasks at home."
90046,"I must say I beg to differ. I think parents should help with homework and I think homework is helpful. My daughter usually only has 1 page of math homework per night which I make sure she completes. I have her sit beside me to work on it and I help her as needed. The homework is tied to what they have done that day in math and I feel it reinforces the concept. I agree that children need time to play and relax but if they don't do any homework/extra academics outside of school hours, how are they going to be able to compete and excel at the college level? Kids can't suddenly be prepared for college when they are in 12th grade -- they need to start becoming academically disciplined in the elementary grades. I feel that my daughter does much better in school and has a much more positive attitude towards her studies than if I were not involved."
90047,"Kohn makes a lot of sense. The industrial education complex took over. That includes education colleges, teachers, book publishers, government bureaucrats, and politicians. The least important thing is the student. Children are our most important assets. Students should be pampered. Instead we turn them over to people with elaborate schemes to raise the cost of education. I would start by closing the education colleges and book publishers."
90048,"Wouldn't it be great is young students were given assignments that would tap into their areas of interest that may or may not be tied to anything taught in school. Something of a longish assignment of 4 weeks that they can research. Help can come from anyone but it would be very important that the assignment be done by them and there would be no grad attached. Get them to do something that they want to do as a learning experience."
90049,"This is exactly how my 9 year old son sees it: he was at school all day--why should he have to do more schoolwork when he gets home? We're so grateful that his teacher this year has what seems to us to be a very sensible policy--she only sends home work that he didn't get done during the day, a policy that gives him an incentive to stay focused and working when he's at school."
90050,"I am a Middle School teacher whose views on homework have evolved over the years. I hardly give any homework any more. Kids don't focus on it because they are so desperate to get through their mountain of work. So we do it in class and they gain a higher level of understanding. Most of my teaching goals can be achieved during the time in class because I focus on concepts and skills, not content. They can easily find content, but need to know what to do with it. And I now have them write papers in class instead of at home. There is a HUGE difference is clearly because they are not getting help from parents, tutors, friends, etc. Besides, I can now conference with them and help them get on and stay on track during the process. It may seem counterintuitive, but no homework leads to more and better learning."
90051,"I have say that I feel quite embarrassed for Ms. Bennett in writing this piece. The article that she links to to support her position is over 25 years old and the evidence cited within this piece is older still. And, if fact, the author of that article is much more equivocal in his conclusions and does NOT advocate for not give homework for even the youngest children (he simply suggests limiting the amount of time which children spend on hw by age which does seem quite reasonable.) Furthermore, the no homework ever policy that she advocates for flies in the face of one of the old and most well supported findings in the history of psychology that tasks/skills/knowledge are best learned through distributed practice (i.e. spacing effect). Perhaps the problem is not too much homework but too much time in school where we try to cram in skills and knowledge in a compressed time schedule based on the needs of adults rather on the needs of children."
90052,"Growing up, I was always a high academic achiever. Still, I always asked my parents to proofread my work before turning it in. Those evenings in which my parents edited at my side turned out to improve my writing so much more than my teachers ever could. That one-on-one, painstakingly specific instruction taught me that active voice is preferable to passive and that there is a difference between formal, academic essays and casual, creative writing. Just because my parents helped me craft an essay didn't mean I didn't learn to become a better writer from that experience, and it certainly didn't make me dependent on them throughout my life. My younger sister, on the other hand, resisted their help, preferring to do her work alone. She became an exceptional writer and went to a great school. In the end, each kid has different needs. I don't think you can make a blanket statement saying 'all parents should do this' or 'all homework help (or homework, for that matter) is counterproductive.'"
90053,"Yes, it is important for children to learn how to do their homework by themselves. However, reviewing assignments with them can often help them to see where they made mistakes or help them to clarify matters that they may not fully understand. If a child is able to feel comfortable discussing material with his or her parent, there is an opportunity to reinforce what the child is learning. These interactions can build self-confidence and help to develop critical thinking. Students who are in large classes rarely get the type of individual attention in a class that they may receive from an involved parent at home. Sometimes revisiting the material at home can present a child with the opportunity to understand more about it."
90054,"Since many teachers don't actually teach, are left by the administration to run a classroom any way they want to, since it is extremely rare for any public school to have a code of conduct for teachers, for instance that they grade homework in a timely manner and provide prompt feedback, parents must too often fill in and do the individualized teaching that their kids need, and are not getting at the school."
90055,"Well, there is homework and there is homework. As a long time substitute, I see classrooms where one disruptive or special needs student takes up so much of the teachers time that many important concepts get short shrift. I see third graders that have to look at the tables in the back of the book to get the answer to 7X9. Surely some type of practice to gain familiarity with the basics is in order. This isn't limited to math. Is reading a chapter of a book to be discussed the next day harmful? My experience is that the teacher doesn't have time in the classroom to thoroughly teach any subject. This may be the fault of the curriculum, but it is what it is."
90056,"I agree that some elementary students receive too much homework and too many projects that end up being done by parents. However, our junior high and high school students in general do not do enough homework. At the high school where I teach, foreign exchange students often deride the curriculum and study habits of American students. They are used to long hours of study and practice. Five hours a week in a calculus class without further practice at home, will generally not produce good results. Neither will five hours in a literature class or any other secondary academic subject. Students must do the required outside reading and writing if they are to truly master an academic subject. It troubles me that some parents think nothing of long hours of practice when it comes to sports but whine about practice when it comes to academics."
90057,"I believe there are no hard rules regarding parental involvement with homework. What is being overlooked in this discussion is the insight parents can get into so many aspects of their child's development including: 1) Academic progress in different subjects 2) Developing interests in potential careers 3) Relationships with teachers and even school peers 4) Early warnings of problems in school or more personal issues. Hints about all these issues can be discerned by the parent who takes time to help their children with homework which can even be just a guise for LISTENING. Homework involvement was a great opportunity to learn how our kids were doing."
90058,"Humans don't resemble vegetarian mammals (cows, sheep) any more than we resemble bears. We are primates, and our closest genetic relatives (chimps) are omnivores. What's more revelant is that our digestive systems are still we equipped for eating raw animal protein such as sushi, clams and oysters on the half-shell, and steak tartare. Don't try eating raw potatoes, beets, or beans though, they're all indigestible to us. Although cutting back on animal-based foods is certainly healthful, a purely vegan diet offers many challenges to be complete."
90059,"This argument is seriously flawed. What are this guy's qualifications? He's a chef, not an evolutionary biologist. Every living thing has evolved with certain traits that have enabled it to thrive. No, we may not have the speed and strength to kill a deer with our bare hands. But we have other evolutionary advantages that have enabled us to eat animals. Humans have been eating meat for millennia and our bodies have adapted to an omnivorous diet. If we weren't fit to eat animals we'd be extinct by now. Eating raw meat makes people sick because modern factory farming and slaughterhouse practices lead to contamination. It's also the modern industrial diet that has lead to our current health problems (diabetes, heart disease, etc.) If people ate the way they did a hundred years ago and earlier (including eating meat) we'd all be a lot healthier. It's not meat that's the problem."
90060,"Look at the human species not other animal species. It's not vegies and whole foods that make a major portion of Western diet eaters overweightt and obese. It's not vegies that puts a major portion of the US population on statins to reduce bad cholesterol. It's not vegies that are helping to raise medical costs to astronomical heights.Perhaps a major portion of the problem lies in the high animal fat Western diet."
90061,"No offense, Brian Patton, but this is by far the worst argument I have ever read in the NYT. Since when did we start basing our knowledge of what animals have been 'designed' to eat on comparisons with the grizzly bear? So because a fox can't take down a deer, it should secretly be an herbivore? And no, we don't look like grizzlies, but we do look a hell of a lot like chimps and other primates that will rip animals apart with their bare hands and 'digest the raw innards' just fine. Please don't base your argument on 'the logic of the animal kingdom' when you clearly have no concept of biology or evolution. You're a chef, so you presumably know a lot about food. Why not construct an argument around the food itself instead of a subject you don't seem to know anything about? Just a suggestion. Thanks. Hugs and kisses. P.S. How did this actually make it into print? NYT editors, I expected better."
90062,"You're going to have a hard time eating (at least enjoying) a purely vegan diet without processing tools. Fruits, nuts, and raw vegetables all the time? No soy milk? No tofu? No vegetable oil? No corn or wheat flour? This person makes a completely specious argument."
90063,"A LOT depends on where one lives. Someone in frozen areas like Alaska,(a head of lettuce is $8) Finland, Siberia could never survive being vegan. Desert people with camels could never be vegan. Someone in an area with no land to grow a vegetable garden or access to a grocery store could never be 100% vegan. Yes, many Americans could be more vegetarian. We are mostly vegan but do eat the eggs our hens lay, and make yogurt from family goats that we have for brush removal, and its simply because we are blessed to live in an area where we can grow a massive vegetable garden almost year round. And what we cannot grow/raise, we can get from farmers markets, Whole Foods etc. But not every American is so fortunate. Reliable reserach done over decades show that SDA (Seventh Day Adventists) are the healthiest Americans and they are vegetarians. They avoid meat. Some will eat cheese, eggs. Just not a lot."
90064,"I am an omnivore who eats a well-balanced diet with plenty of fruit and vegetables, eggs and moderate amounts of meat. I love cheese and yogurt, milk in my oatmeal, a splash or two of half-and-half in my coffee. I don't bother with sunscreen unless I'm at the beach and get my sun from walking around the city and jogging in Central Park. However, at my last checkup, I discovered that I am deficient in vitamin D. My doctor recommended I add a supplement. It seems it's hard enough to get all the nutrients one needs for optimal health from an omnivore's diet. The few vegans I have known--granted, a small sampling--have always looked unhealthy to me, with sallow skin and dull hair. I knew a vegan who insisted on feeding her baby a vegan diet as well, and that poor child is underweight and I'm afraid to say not very bright. I will not condemn a vegan, however, for his or her dietary choices; I wish that those vegans who do take a self-righteous attitude toward non-vegans would not condemn us for ours."
90065,"I've been vegan for 20 years and I feel great. I supplement with B-12, Vitamin D and Flax Seed Oil for Omega 3's. I exercise daily and don't drink or smoke. As others have said, is the problem that my diet may lack animal flesh and a few easily replaced nutrients or that that so many carnivores eat way too much of both flesh and everything else? I"
90066,"I was disappointed to read the 'Room for Debate' essays published April 17 addressing 'Is Veganism Good for Everyone.' Of the six essayists, only two appear to be vegans, and not one is a physician or nutritionist. There was no discussion of the benefits to the environment of being vegan, and no discussion of animal rights or animal welfare. Despite allegations that a vegan diet can lead to debilitating nutritional deficiencies, there is much evidence to the contrary. The American Dietetic Association says that a vegan diet can be a healthy choice for everyone, including babies and breast-feeding mothers. The truth is that humans are adaptable and can do well on a wide variety of diets. There is still much that we do not understand about human nutrition. But one thing I do understand is that I have been vegan for 20 years and I have never been healthier."
90067,"As a hypogycemic, eating all carbs, all the time (even the good kinds) is just not going to work for me -- I'd be hungry all the time an inevitiably overeat and gain weight. Lots of people are sensitive to carbs in varying degrees, and they are just going to get fat being a vegan. I've seen it happen to several friends. This does not mean it is OK to eat bacon and msdonalds, though, people. Try wild salmon and salad."
90068,"I quit eating beef over thirty years ago. I quit chicken five years ago, I had allergies my entire life, now, I have none. No stuffy nose or hives. I really think limited dairy has made a huge change. I do eat some, but it really made me sick when I did everyday. A very smart, organized person that enjoys cooking can design a diet without meat that is so heathy. When I saw how animals are raised for food, never seeing the sunshine or grass, shot up with antibiotic and chained to a metal pole (veal), or, dairy calves taken from their mother at birth, I as a mammal, could never accept such cruel behavior again."
90069,"Lentils, whole beans, millets are great sources of B vitamins, their bioavailability increases if they are soaked overnight. Millets can even be sprouted then pound into a flour, they are gluten free. Some millets contain high amounts of calcium as well. Quinoa is another rich source of nutrition all around. As far as brain food is concerned, dairy and dairy products make up for lack of meat protein. However for stric vegans who exclude fairly products or those with lactose intolerance, meat and meat products is a good option. Being flexible is a great thing, being too strict or restrictive doesn't help anyone. Moderation is key, mix of vegetarianism, non vegetarianism is awesome, if one is willing to be flexible. Life is colorful not black and white so why limit food?"
90070,"Yes, quality does matter, but few people either have the time or money to seek out that quality. Going vegetarian makes it easier to avoid most all of the industrial animal products in our supermarkets. Maybe the meat producers will take heed if we start demanding more quality as consumers or just stop buying meat by the pallet. I, for one, can't bear the thought of a female pig in a gestation crate for all her adult life."
90071,"Josh What evidence do I have that milk was not meant for adult humans? Observation:. All animals reach a stage of life called 'weaning' when they cease relying on mother's milk and start enjoying the foods more suitable to their developing nature. (usually, for kids, it coincides with emerging teeth) For evidence of a scientific and peer-reviewed nature, please see the work of Dr. T. Colin Campbell (the China Study) COW's milk, specifically, leads to many health problems for adult humans (and kids, too)"
90072,"Mike Tyson ate meat when he was the most feared boxer in the world. He only became a vegan long after his boxing days are over, so he hardly counts as an elite vegan athlete. Similarly, Lance Armstrong didn't win all those Tour victories as a vegan. I'd be interested to know when the other athletes Rip mentioned became vegans. I'd bet it was long after they had become champions. In any case, for every vegan elite athlete Rip names, I can name a couple hundred omnivorous ones. So despite these examples, it is entirely possible -- and likely -- that any vegan athlete who reaches elite levels is a fluke and became a champion IN SPITE OF his/her nutritionally deficient vegan diet, and NOT because of it. You can go up a hill by walking on your hands. Doesn't mean it's the best or most efficient way to do it, or even that this is a possibility for most people."
90073,"'Plant Strong is the Way' - I agree! I've been vegan for over 10 years and I've never felt better. I feel healthier in mind, body and spirit and than ever before. There is so much cultural resistance to veganism - we are literally programmed to think we 'need' to eat meat, put eggs in cakes, milk in our cereal, etc. But being vegan is 'mainstream' now and increasingly popular. Not only is consuming animal products not necessary, but it has led to the untold suffering of trillions of animals. We all have the choice to not participate in that. I know and have met countless vegan individuals, from all walks of life, who are very, very healthy. There is no doubt in my mind that it's the healthiest way to live."
