Headline,Body ID
"Home-schoolers should not play for high school teams",91168
"Big banks are not out of control",92483
"Rich politicans are less corruptible",90636
"Police is reacting to dangers",91374
"New York's bike lanes are not working",90637
"Marijuana is a gateway drug",91981
"Non-Muslims help women by wearing hijabs",93745
"Unpaid intenship exploit college students",90931
"Nations should not recognize a Palestinian state",91351
"No, it can't denounce",92617
"Unpaid intenship exploit college students",91114
"Women should delay motherhood",90945
"College students' votes do matter in an election",93176
"Do not legitimize Frisbee",93253
"Veganism is good for everyone",91269
"Writing can be assessed",92430
"Casinos are not too much of a gamble",92944
"Royal Couple could be a modern family",90130
"Do not stop taxing capital gains",90413
"Christians have created a harmful atmosphere for gays",90527
"Do not stop taxing capital gains",91382
"Europe should not shun refugees",91395
"College should be free",92415
"Greece should abandon Euro",91280
"Veganism is good for everyone",91311
"Overcrowding is a legitimate threat",93956
"Medicare doesn't need to be reformed",93651
"Non-Muslims help women by wearing hijabs",93007
"Marijuana is a gateway drug",91527
"Comment sections have failed",90888
"No, it can't denounce",92626
"The threat has been exaggerated",92725
"Speech can be limited for public workers",93583
"We should manipulate our dreams",91918
"Europe should not shun refugees",92118
"Beachfront homes should have to open their land to the public",91387
"Economists are not overrated",94050
"The bar is not too low to get into law school",91010
"Pollings do no undermine democracy",94008
"California doesn't need high-speed rail",91391
"We don't need libraries",90855
"Opioid training should be mandatory",93246
"Online classes are not the best way to teach",93461
"It should be illegal to declaw your cat",90694
"Abolish Birthright Citizenship",92997
"College students' votes do matter in an election",93012
"US should attack Syria",93401
"Electric cars will not succeed",93327
"Abolish Birthright Citizenship",90551
"Police is reacting to dangers",93377
"The U.S. should not work with Assad to fight ISIS",91353
"Electric cars will not succeed",90433
"People are getting dumber",90299
"Open office layout should be reconsidered",94424
"Women should be encouraged to have kids at home",90570
"Salt should have a place at the table",91047
"Nations should not recognize a Palestinian state",94075
"Public universities are neglecting in-state students",92920
"New York's bike lanes are not working",90502
"Drone attacks make more harm",92082
"Police is reacting to dangers",93381
"Legislation should not protect obese",92936
"Extreme parenting is counterproductive",93819
"Supporting Israel helps",90746
"Ruining",91280
"Drug addicts should be forced into treatment",90990
"Abolish Birthright Citizenship",93538
"Do not stop taxing capital gains",91846
"Non-Muslims help women by wearing hijabs",94214
"3-D printing will change the world",90969
"We don't need the C.I.A.",90588
"Do not restrict use of the word 'natural' on food labels",92983
"Guns should be permitted on college campuses",92783
"Home schoolers deserve a tax break",90822
"Iran doesn't remain a threat",90659
"The U.S. Embassy should be moved from Tel Aviv to Jerusalem",91975
"Colleges do not need humanities programs",94073
"Colleges do not need humanities programs",94064
"Teachers do not need to have experience",93861
"Overcrowded national parks should have restricted access",91451
"States do not need special schools for the deaf",93683
"People are getting dumber",90466
"The U.S. should not work with Assad to fight ISIS",92891
"Comment sections have failed",90398
"Obamacare is not working",91573
"Guns should be permitted on college campuses",93628
"Marijuana is a gateway drug",92435
"Home schoolers deserve a tax break",94079
"Comment sections have failed",93640
"It should be illegal to declaw your cat",92910
"Supporting Israel helps",94357
"Home schoolers deserve a tax break",92177
"Obamacare is not working",90069
"Marijuana is a gateway drug",94099
"Fees are necessary",92619
"The bar is not too low to get into law school",90491
"Economists are not overrated",94043
"TFA has not raised the status of teachers",92452
"Obamacare is not working",90222
"Medical websites are dangerous",90977
"Vaccination should be mandatory for all children",91341
"Royal Couple could be a modern family",92670
"The new apps is a way for people to get into popular restaurants",92512
"Voting should be mandatory",92605
"Non-Muslims help women by wearing hijabs",92204
"Nations should not recognize a Palestinian state",91700
"Comment sections have failed",91080
"The new apps is a way for people to get into popular restaurants",92279
"Public preschool is a smart investment",92739
"US should attack Syria",94361
"Vaccination should be mandatory for all children",93355
"Overcrowding is a legitimate threat",91390
"New York's bike lanes are not working",91267
"Privatization is a bad deal for cities and states",93093
"Public preschool is a smart investment",90334
"Online classes are not the best way to teach",91021
"TFA has not raised the status of teachers",92442
"Women should be encouraged to have kids at home",92743
"Foreign language classes should be mandatory in college",93131
"Non-Muslims help women by wearing hijabs",92184
"Greece will destroy the Euro Zone",91736
"Farms could survive without illegal labor",91568
"Women should delay motherhood",93625
"Wal-Mart can make us healthier",93456
"Casinos are not too much of a gamble",92057
"Farms could survive without illegal labor",90153
"We don't need the C.I.A.",90381
"The Atlantic coast should be opened to drilling",90721
"We don't need libraries",91302
"Do not stop taxing capital gains",91733
"Wealthy colleges deserve tax breaks",90214
"Parents should help their children with homework",90495
"Women should delay motherhood",93897
"No, it can't denounce",91150
"Rim should be raised",93808
"Supporting Israel helps",92906
"Queen Elizabeth II should not step down",92477
"Felons should be allowed to vote",90585
"No, it can't denounce",92957
"Parents should control what kids learn at school",91791
"Ruining",91228
"Supporting Israel helps",93138
"College should be free",91956
"Supporting Israel helps",91554
"Same-sex colleges are outdated",92378
"NATO should defend nonmbers",90342
"Companies can be trusted",91239
"Electric cars will not succeed",93329
"Comment sections have failed",91514
"Obamacare is not working",91073
"Jail record should be an employer's first impression",93693
"Economists are not overrated",94052
"Legislation should not protect obese",90838
"No, the laws should not be toughened",91264
"Christians have created a harmful atmosphere for gays",90058
"Wealthy colleges deserve tax breaks",94114
"Electric cars will not succeed",91391
"Parents should make vacation with kids",90563
"Drone attacks make more harm",93340
"Privatization is a bad deal for cities and states",90184
"Technological innovation is creating better worlds",91127
"Charter schools are cherry-picking students",93668
"US should attack Syria",92019
"The Atlantic coast should be opened to drilling",92602
"No, it can't denounce",92561
"Same-sex colleges are outdated",92514
"Voting should be mandatory",90331
"It is fair to rate professors online",94424
"Extreme parenting is counterproductive",90758
"Privatization is a bad deal for cities and states",93058
"Companies can be trusted",92402
"Women should be encouraged to have kids at home",92103
"Internet addiction is a concern for teenagers",94443
"Home schoolers deserve a tax break",92782
"We should disband NATO",94347
"Government should not regulate airline industry again",90287
"Europe should not shun refugees",92127
"Parents should control what kids learn at school",92009
"The U.S. should not work with Assad to fight ISIS",92616
"Electric cars will not succeed",91672
"Non-Muslims help women by wearing hijabs",93074
"New York's bike lanes are not working",90851
"Voting should be mandatory",93924
"Google is a harmful monopoly",90358
"TFA has not raised the status of teachers",92441
"Greece will destroy the Euro Zone",94384
"Abolish Birthright Citizenship",90698
"No, it can't denounce",92611
"Russia can be a partner",90675
"Voting should be mandatory",90711
"Rock Hall of Fame doesn't matter",91433
"Foreign language classes should be mandatory in college",94063
"Electric cars will not succeed",94186
"New York's bike lanes are not working",94367
"Ruining",92172
"Big banks are not out of control",93896
"Home schoolers deserve a tax break",94098
"Public universities are neglecting in-state students",93112
"Dual citizenship should be allowed",92084
"Overcrowding is a legitimate threat",94034
"Royal Couple could be a modern family",92021
"We don't need libraries",91273
"Vaccination should be mandatory for all children",93947
"The U.S. should lift sanctions with Cuba",90269
"Farms could survive without illegal labor",91986
"Electric cars will not succeed",90227
"Nations should not recognize a Palestinian state",90580
"No, it can't denounce",91428
"Organic food is not worth the expense",93006
"State citizenship is not the answer to immigration reform",90006
"Fraternities and sororities should be co-ed",90584
"Home-schoolers should not play for high school teams",91402
"Europe should not shun refugees",93328
"Affirmative actions should be based on income",90668
"Modern men are manly enough",91004
"Not to tip",91487
"Brazil should not postpone Olympics",92509
"TFA has not raised the status of teachers",94343
"Fees are necessary",91309
"Colleges do not need humanities programs",91117
"School librarians are expendable",90788
"The new apps is a way for people to get into popular restaurants",93120
"It should be illegal to declaw your cat",90688
"Vaccination should be mandatory for all children",94081
"Rich politicans are less corruptible",93010
"Immigration is not really a problem",91589
"Tennis strung is not too tight",92688
"Not to tip",93064
"Teachers do not need to have experience",93099
"The U.S. Embassy should be moved from Tel Aviv to Jerusalem",91976
"No, it can't denounce",92861
"Overcrowded national parks should have restricted access",91569
"Former colonial powers should not pay reparations",91098
"Salt should have a place at the table",93842
"Unpaid intenship exploit college students",93945
"Young people are being irresponsible by delaying the rituals of adult life",91592
"Supporting Israel helps",93889
"Speech can be limited for public workers",94069
"Doping should be allowed",94027
"Drone attacks make more harm",94375
"Do not stop taxing capital gains",93562
"Modern men are manly enough",92580
"Women should be encouraged to have kids at home",92729
"Companies can be trusted",90604
"Colleges do not need humanities programs",90238
"Colleges do not need humanities programs",90490
"Obamacare is not working",94020
"3-D printing will change the world",90771
"California doesn't need high-speed rail",93799
"The U.S. Embassy should be moved from Tel Aviv to Jerusalem",91980
"Do not stop taxing capital gains",93455
"The bar is not too low to get into law school",90710
"3-D printing will change the world",91814
"Same-sex colleges are outdated",93515
"Marijuana is a gateway drug",93612
"Speech can be limited for public workers",90132
"Technological innovation is creating better worlds",90464
"School librarians are expendable",93437
"Veganism is good for everyone",92556
"Royal Couple could be a modern family",93853
"The threat has been exaggerated",93822
"Fraternities and sororities should be co-ed",91672
"Extreme parenting is counterproductive",91919
"Wealthy colleges deserve tax breaks",91380
"New York's bike lanes are not working",92509
"Parents should control what kids learn at school",90964
"No, it can't denounce",92941
"Marijuana is a gateway drug",90094
"Obamacare is not working",91183
"Colleges do not need humanities programs",94065
"Colorado didn't go too far with pot",90739
"Obamacare is not working",93721
"Nations should not recognize a Palestinian state",91877
"It is fair to rate professors online",92083
"Colleges do not need humanities programs",94249
"US should attack Syria",94358
"Same-sex colleges are outdated",90920
"Affirmative actions should be based on income",90895
"Keep selling arms to Taiwan",93400
"Not to tip",93959
"Modern men are manly enough",93038
"Wal-Mart can make us healthier",91568
"Companies can be trusted",92679
"Affirmative actions should be based on income",90373
"Overcrowding is a legitimate threat",93043
"Home-schoolers should not play for high school teams",90330
"Christians have created a harmful atmosphere for gays",93837
"Felons should be allowed to vote",91838
"Veganism is good for everyone",91129
"We do not need more advice about eating well",93526
"No, it can't denounce",90777
"Rich politicans are less corruptible",93008
"Opioid training should be mandatory",93561
"Border is not secure enough",94280
"Affirmative actions should be based on income",91786
"Colleges do not need humanities programs",90012
"Fees are necessary",90452
"It is harder to be a celebrity now",93820
"Companies can excel without making workers miserable",90713
"Public preschool is a smart investment",90041
"Economists are not overrated",90417
"Overcrowded national parks should have restricted access",92538
"Pollings do no undermine democracy",92805
"Privatization is a bad deal for cities and states",93590
"Electric cars will not succeed",92931
"Voting should be a constitutional right",93589
"Jail record should be an employer's first impression",92071
"Colleges do not need humanities programs",93117
"Colleges do not need humanities programs",90224
"Schoold day should be longer",93807
"Former colonial powers should not pay reparations",91017
"Former colonial powers should not pay reparations",93070
"We don't need libraries",92487
"Government should grade colleges",93145
"We do not need more advice about eating well",91042
"We should manipulate our dreams",90189
"Parents' religious beliefs should allow them to refuse medical care for their children",93851
"Companies can be trusted",91958
"Christians have created a harmful atmosphere for gays",93055
"Non-Muslims help women by wearing hijabs",94257
"Supreme court is not too powerful",91571
"Marijuana is a gateway drug",92347
"Veganism is good for everyone",90472
"We don't need the C.I.A.",93655
"Farm subsidies do not protect national security",93914
"We don't need libraries",91305
"No, it can't denounce",92361
"Doping should be allowed",93925
"Medical websites are dangerous",93944
"Tenure protects bad teachers",91025
"Salt should have a place at the table",92088
"Voting should be a constitutional right",92440
"Felons should be allowed to vote",91683
"Young people are being irresponsible by delaying the rituals of adult life",91954
"Tenure protects bad teachers",93536
"Women should delay motherhood",90825
"Parents' religious beliefs should allow them to refuse medical care for their children",91980
"The U.S. should lift sanctions with Cuba",90607
"Machines are gaining the upper hand on humans",90280
"Companies can be trusted",90297
"Economists are not overrated",94045
"Royal Couple could be a modern family",90390
"Speech can be limited for public workers",91779
"Kurds are allies in SyriaAllies",92642
"Not to tip",92888
"Parents should control what kids learn at school",93835
"Colleges do not need humanities programs",93023
"No, it can't denounce",90138
"Companies should be allowed to patent genes",90731
"No, it can't denounce",93489
"Crime can be ethically predicted",92344
"Non-Muslims help women by wearing hijabs",92943
"Do not drop sports program in undergraduate schools",94195
"US should attack Syria",93107
"Farms could survive without illegal labor",93728
"Same-sex colleges are outdated",94276
"Extreme parenting is counterproductive",91765
"Parents should control what kids learn at school",92407
"Overcrowding is a legitimate threat",93586
"Charter schools are cherry-picking students",93531
"Turkey belongs to NATO",91543
"Legislation should not protect obese",93864
"Do not stop taxing capital gains",91818
"Same-sex colleges are outdated",93704
"School librarians are expendable",90153
"Euro bonds can save the Union",93051
"Medicare doesn't need to be reformed",91353
"Nuclear power is not the answer to climate change",93466
"Farm subsidies do not protect national security",91081
"Olympics are more trouble",90938
"Companies can excel without making workers miserable",92212
"Colleges do not need humanities programs",90771
"Parents should control what kids learn at school",92536
"Parents should make vacation with kids",92790
"Amazon will kill off publishers",91367
"Greece will destroy the Euro Zone",92813
"College free for everyone",94022
"Wal-Mart can make us healthier",92350
"Rich politicans are less corruptible",93013
"Unpaid intenship exploit college students",93455
"Veganism is good for everyone",94359
"Do not stop taxing capital gains",92003
"It should be illegal to declaw your cat",93691
"Medicare doesn't need to be reformed",92084
"College should be free",91541
"Foreign language classes should be mandatory in college",94264
"Tenure protects bad teachers",94345
"Home schoolers deserve a tax break",91872
"Helping condo developers help the city",92510
"Home schoolers deserve a tax break",92197
"College students' votes do matter in an election",90140
"Extreme parenting is counterproductive",90703
"Parents should control what kids learn at school",90762
"Legislation should not protect obese",91397
"Do not stop taxing capital gains",93509
"Open office layout should be reconsidered",93925
"Rim should be raised",92611
"Police is reacting to dangers",92101
"Farm subsidies do not protect national security",93297
"Vaccination should be mandatory for all children",91253
"Parents should make vacation with kids",92547
"Do not stop taxing capital gains",91815
"Not to tip",91985
"Home-schoolers should not play for high school teams",92276
"Schoold day should be longer",92706
"Tracking kids does not invade privacy",92424
"Non-Muslims help women by wearing hijabs",92186
"The U.S. Embassy should be moved from Tel Aviv to Jerusalem",90570
"Felons should be allowed to vote",92495
"Immigration is not really a problem",90814
"Non-Muslims help women by wearing hijabs",93938
"College students' votes do matter in an election",94432
"Comment sections have failed",90865
"Rim should be raised",92424
"Colorado didn't go too far with pot",94008
"Nations should not recognize a Palestinian state",90468
"Medical websites are dangerous",91300
"Christians have created a harmful atmosphere for gays",90526
"The new apps is a way for people to get into popular restaurants",91054
"Modern men are manly enough",91039
"Government should not regulate airline industry again",93162
"Rim should be raised",91905
"We don't need to hear from candidate's spouse",90630
"Obamacare is not working",90495
"Colorado didn't go too far with pot",90552
"Overcrowded national parks should have restricted access",92706
"Olympics are more trouble",91558
"Rim should be raised",92548
"Veganism is good for everyone",93666
"Tenure protects bad teachers",92713
"Do not drop sports program in undergraduate schools",91067
"Hamas-Fatah unity can lead to mideast peace",92401
"Iran doesn't remain a threat",92993
"Guns should be permitted on college campuses",90580
"Young people are being irresponsible by delaying the rituals of adult life",90421
"Not to tip",90348
"No, the laws should not be toughened",91256
"Medical websites are dangerous",92737
"No, it can't denounce",92584
"Comment sections have failed",91809
"Felons should be allowed to vote",94229
"Supporting Israel helps",91801
"Students should be taught cursive",92018
"The A.D.H.D. diagnosis is helping kids",93425
"US should attack Syria",92944
"Veganism is good for everyone",90067
"Medical websites are dangerous",91849
"The U.S. should not work with Assad to fight ISIS",92736
"Supporting Israel helps",94384
"Medical websites are dangerous",92498
"Prostituion is safer when it's legal",90407
"California doesn't need high-speed rail",92581
"Prostituion is safer when it's legal",91779
"Young people are being irresponsible by delaying the rituals of adult life",92807
"Not to tip",91443
"Farms could survive without illegal labor",93723
"Tenure protects bad teachers",92686
"Supporting Israel helps",93719
"Fraternities and sororities should be co-ed",90525
"Women should be encouraged to have kids at home",90093
"America's fears are legitimate",92894
"Keep children's books light",94063
"Young people are being irresponsible by delaying the rituals of adult life",91623
"Vaccination should be mandatory for all children",91197
"Companies can excel without making workers miserable",92112
"Veganism is good for everyone",90671
"TFA has not raised the status of teachers",92439
"New York's bike lanes are not working",90484
"Prostituion is safer when it's legal",90831
"Non-Muslims help women by wearing hijabs",92167
"Do not stop taxing capital gains",90418
"Public preschool is a smart investment",91554
"Prostituion is safer when it's legal",92398
"Farms could survive without illegal labor",94150
"We don't need libraries",91996
"Former colonial powers should not pay reparations",91959
"Mother Teresa should be canonized",91238
"Medical websites are dangerous",92752
"Rock Hall of Fame doesn't matter",93930
"US should attack Syria",90698
"College free for everyone",92033
"Tennis strung is not too tight",93378
"Comment sections have failed",91324
"Economists are not overrated",94051
"We don't need the C.I.A.",91148
"Christians have created a harmful atmosphere for gays",90361
"Beachfront homes should have to open their land to the public",92263
"Obamacare is not working",93222
"Supporting Israel helps",91751
"Christians have created a harmful atmosphere for gays",91870
"Parents should help their children with homework",94419
"Organic food is not worth the expense",91506
"Guns should be permitted on college campuses",92888
"Big banks are not out of control",91519
"Home schoolers deserve a tax break",94394
"Non-Muslims help women by wearing hijabs",90696
"Businesses should be allowed to have new employees sign noncompete deals",93494
"Royal Couple could be a modern family",93790
"Vaccination should be mandatory for all children",92765
"Helping condo developers help the city",92071
"College should be free",93737
"Happy hour should be banned",93876
"New York's bike lanes are not working",91329
"Dual citizenship should be allowed",91220
"Companies can be trusted",94006
"Legislation should not protect obese",94245
"It is fair to rate professors online",91223
"Home schoolers deserve a tax break",93071
"No, it can't denounce",92599
"Electric cars will not succeed",90091
"Online classes are not the best way to teach",91992
"We don't need the C.I.A.",91754
"Keep selling arms to Taiwan",94332
"It is fair to rate professors online",94173
"It is fair to rate professors online",92634
"Parents' religious beliefs should allow them to refuse medical care for their children",90661
"Home schoolers deserve a tax break",93704
"Foreign language classes should be mandatory in college",91659
"Obamacare is not working",94277
"Guns should be permitted on college campuses",91083
"Colleges do not need humanities programs",93301
"The threat has been exaggerated",93534
"Let Export-Import Bank expire",93369
"Brazil should not postpone Olympics",90761
"Public universities are neglecting in-state students",92206
"No, it can't denounce",93771
"Felons should be allowed to vote",92382
"Open office layout should be reconsidered",94423
"Pollings do no undermine democracy",92622
"Schoold day should be longer",91509
"Legislation should not protect obese",94265
"Salt should have a place at the table",93675
"Tenure protects bad teachers",92375
"Non-Muslims help women by wearing hijabs",92203
"It is fair to rate professors online",93999
"Parents should control what kids learn at school",94200
"Drug addicts should be forced into treatment",93023
"Court stenographers are necessary",90919
"Students should be taught cursive",93447
"Pay for teachers should be raised",90782
"Marijuana is a gateway drug",91216
"Farms could survive without illegal labor",93443
"Companies can be trusted",94078
"Felons should be allowed to vote",90975
"Fraternities and sororities should be co-ed",94344
"People are getting dumber",90956
"No, it can't be used for fighting deseases",93310
"Salt should have a place at the table",94074
"It is fair to rate professors online",92497
"Medicare doesn't need to be reformed",91507
"The threat has been exaggerated",93169
"Europe should not shun refugees",92140
"The U.S. should not work with Assad to fight ISIS",90402
"Democracies should have monarchs",94061
"California doesn't need high-speed rail",93814
"Fraternities and sororities should be co-ed",91239
"Doping should be allowed",92319
"Not to tip",92857
"College should be free",93640
"The U.S. should not work with Assad to fight ISIS",90276
"Drone attacks make more harm",91114
"The threat has been exaggerated",92683
"Same-sex colleges are outdated",90220
"Dual citizenship should be allowed",90872
"Rich politicans are less corruptible",92427
"Companies can be trusted",90314
"Women should delay motherhood",91395
"Prostituion is safer when it's legal",91501
"Students should be taught cursive",90331
"Home schoolers deserve a tax break",91192
"Non-Muslims help women by wearing hijabs",92490
"Iran doesn't remain a threat",93561
"Writing can be assessed",93132
"Hamas-Fatah unity can lead to mideast peace",91021
"Salt should have a place at the table",91428
"California doesn't need high-speed rail",91641
"It is fair to rate professors online",93149
"Extreme parenting is counterproductive",91915
"Do not stop taxing capital gains",90208
"Government should grade colleges",90204
"Comment sections have failed",92822
"Dual citizenship should be allowed",90909
"Europe should not shun refugees",93494
"Voting should be mandatory",90762
"Mother Teresa should be canonized",92235
"TFA has not raised the status of teachers",91497
"Legislation should not protect obese",94088
"Iran doesn't remain a threat",90472
"Privatization is a bad deal for cities and states",90186
"Parents should control what kids learn at school",90953
"We should disband NATO",92795
"Royal Couple could be a modern family",90116
"Unpaid intenship exploit college students",93897
"Happy hour should be banned",91507
"Home-schoolers should not play for high school teams",92500
"We should disband NATO",92800
"The new apps is a way for people to get into popular restaurants",90593
"Fraternities and sororities should be co-ed",91883
"Affirmative actions should be based on income",90524
"Colorado didn't go too far with pot",94184
"The world is becoming safer",90318
"New York's bike lanes are not working",90095
"It is fair to rate professors online",93992
"Crime can be ethically predicted",90395
"Companies can excel without making workers miserable",92465
"Overcrowding is a legitimate threat",90538
"Obamacare is not working",94136
"Legislation should not protect obese",93207
"Medical websites are dangerous",92287
"Students should live off campus",92158
"Obamacare is not working",93369
"Medical websites are dangerous",92779
"Unpaid intenship exploit college students",94089
"Electric cars will not succeed",91153
"Companies can be trusted",90294
"Online classes are not the best way to teach",91999
"Economists are not overrated",93213
"Same-sex colleges are outdated",94251
"Electric cars will not succeed",92792
"Supporting Israel helps",91143
"New York's bike lanes are not working",91722
"Greece's anti-austerity government can succeed",91187
"Nations should not recognize a Palestinian state",94075
"Vaccination should be mandatory for all children",91209
"Salt should have a place at the table",90057
"We do not need professional critics",94287
"Legislation should not protect obese",91826
"Not to tip",92066
"We don't need the C.I.A.",94111
"Voting should be a constitutional right",93594
"The bar is not too low to get into law school",90333
"Nuclear power is not the answer to climate change",90229
"Obamacare is not sustainable",93332
"Keep selling arms to Taiwan",91351
"Felons should be allowed to vote",91913
"TFA has not raised the status of teachers",93599
"Abolish Birthright Citizenship",94315
"Nations should not recognize a Palestinian state",92704
"Keep selling arms to Taiwan",91614
"Drone attacks make more harm",91210
"Supporting Israel helps",93216
"We don't need libraries",92056
"NATO should defend nonmbers",94312
"It is fair to rate professors online",90308
"No, it can't denounce",92212
"Supporting Israel helps",93989
"Overcrowding is a legitimate threat",90734
"College free for everyone",94031
"It is fair to rate professors online",94011
"We don't need FEMA",91339
"Electric cars will not succeed",93284
"Christians have created a harmful atmosphere for gays",90558
"Europe should not shun refugees",94125
"Women should delay motherhood",92924
"Supporting Israel helps",90700
"Guns should be permitted on college campuses",93911
"Women should be encouraged to have kids at home",92301
"Obamacare is not working",91175
"Supreme court is not too powerful",92492
"Supporting Israel helps",91786
"Supporting Israel helps",91062
"Greece will destroy the Euro Zone",91955
"Queen Elizabeth II should not step down",94131
"No, it can't denounce",92546
"Obamacare is not sustainable",94279
"Online classes are not the best way to teach",93854
"Abolish Birthright Citizenship",91271
"Home schoolers deserve a tax break",93724
"Overcrowding is a legitimate threat",92913
"Foreign language classes should be mandatory in college",90033
"Teachers do not need to have experience",91696
"Same-sex colleges are outdated",90229
"No, the laws should not be toughened",91761
"Vaccination should be mandatory for all children",91918
"States do not need special schools for the deaf",93688
"Iran can help the U.S. In Syria",91789
"School librarians are expendable",93203
"Christians have created a harmful atmosphere for gays",93068
"Comment sections have failed",90585
