Headline,Body ID,Stance
"Justin Bieber's 'Baby' Saves Man From Violent Bear Attack",88,x
"Justin Bieber Saved A Guy Getting Mauled By A Bear",89,x
"Report: HP to split into two companies, one focused on PCs/printers and one on enterprise computing",90,x
"Brain Surgery Recovery: Teenage Girl Wakes Up During Procedure, Talks About Cats",91,x
"IBM To Cut More Than 110,000 Jobs, Report Says",92,x
"Saudi Airlines to ban gender-mixing seating",93,x
"UK looking into reports IS beheading suspect wounded",94,x
"Woman with three breasts: Real or hoax?",95,x
"Brain op shock as teen wakes up mid-surgery",96,x
"A Pregnant Woman Has Lost Her Eye After Being Shot W/ Bean Bag In Ferguson",97,x
"WSJ: Apple cut watch health features due to erratic sensors",98,x
"Saudi Arabia Airline Segregation: New Islamic Law Takes Flight On Airliner, Seating By Gender Coming Soon",99,x
"After Beheading of Steven Sotloff, Obama Pledges to Punish ISIS",100,x
"Children Used To Replace Fighting Dogs",101,x
"Three Boobs Are Most Likely Two Boobs and a Lie",102,x
"Giant Crab",103,x
"President of Argentina adopts godson to stop him from turning into a werewolf",104,x
"'They got in our way': James Foley's brother backs mother attacking Obama administration over failure to save photojournalist before he was beheaded by ISIS",105,x
"Four new NHL expansion teams? Vegas, Seattle, Toronto and Quebec by 2017: Report",106,x
"Tesla settles on Nevada for 'gigafactory' site -CNBC",107,x
"Apple Reportedly Planning to Shut Down Beats Music",108,x
"Joan Rivers' Doctor Took a Selfie While She Was Under Anesthesia (Report)",109,x
"CNN: Doctor Took Mid-Surgery Selfie with Unconscious Joan Rivers",110,x
"U.S.: Video showing Sotloff beheading is authentic",111,x
"China Penis Amputation: Cruel Aunt Viciously Mutilates Toddler's Genitals as Punishment",112,x
"Sources: Missing Afghan Soldiers May Have Been Found Near Canadian Border",113,x
"Jilted wife chops off two-timing hubby’s manhood — twice",114,x
"URGENT: ISIS beheads Kurdish female fighter “Rehana”",115,x
"The Greater Gaza Plan: Is Israel trying to force Palestinians into Sinai?",116,x
"IBM Corp expected to cut more than 110,000 jobs in massive overhaul, report says",117,x
"Analyst: Apple Watch Edition to Cost $950",118,x
"Missing Afghan Soldiers Apprehended Trying To Cross Border Into Canada",119,x
"Hewlett-Packard plans to split into two companies: Report",120,x
"Giant Crab",121,x
"Woman Gets Third Boob to Appear Unattractive to Men",122,x
"ISIS Might Be Harvesting Organs To Finance Operations, Iraqi Envoy Tells UN",123,x
"Foley family says was 'threatened' by U.S. official over ransom: ABC",124,x
"Argentina's President Cristina Kirchner Adopts Jewish Godson To Prevent Him Turning Into A Werewolf",125,x
"iPhone 6s Rumor Suggests Dual Lens Optical Zoom Camera, Pressure Sensors Inbound",126,x
"Woman Gets Third Boob to Appear Unattractive to Men",127,x
"Mittens The Intersex Cat To Get Gender Assignment",128,x
"Jealous Wife Who Chopped Off Husband’s Penis For Cheating On Her, Chops It Off A Second Time",129,x
"Apple Watch shipments to start in March: 12in new MacBook Air expected to be launched in same quarter",130,x
"iPhone 6s Rumor Suggests Dual Lens Optical Zoom Camera, Pressure Sensors Inbound",131,x
"WH won’t say if Foley family was threatened not to pay ransom",132,x
"Report: Apple Plans to Phase Out Beats Music Brand",133,x
"Passenger tossed after flipping out over staff’s ‘Merry Christmas’",134,x
"The Groom Was Sick, So The Bride Married A Guest At Her Wedding In A Fit Of Rage",135,x
"US Ally Saudi Arabia Starts Gender Segregation On National Airline",136,x
"Brain Surgery Recovery: Teenage Girl Wakes Up During Procedure, Talks About Cats",137,x
"A Peruvian TV show is tricking men into catcalling their mothers, for feminism",138,x
"Justin Bieber Helps Defend Russian Fisherman From Bear",139,x
"Report: Apple Plans to Phase Out Beats Music Brand",140,x
"Joan Rivers Death Preventable? Melissa Rivers Taking Legal Action, News Of Doctor’s Selfie Surfaces",141,x
"ISIS Advances to Within 10 Miles of Baghdad",142,x
"Woman pays $20,000 for third breast to make herself LESS attractive to men",143,x
"Transgender teenager, 17, leaves heartbreaking suicide note blaming her Christian parents before walking in front of tractor trailer on highway",144,x
"REPORT: 'JIHADI JOHN' WHO BEHEADED JAMES FOLEY WOUNDED IN US AIRSTRIKE",145,x
"Woman Reportedly Pours Acid on Boyfriend's Penis After Finding His Sex Tape",146,x
"'Whistling At Your Mom': Video Showing Sons Catcalling their Mothers Goes Viral [VIDEO]",147,x
"A bunch of cool health features were cut from the Apple Watch at the last minute",148,x
"Joan Rivers' Doctor 'Took a Selfie' During Procedure: CNN",149,x
"'Throat specialist to the stars' allegedly involved in fatal Joan Rivers procedure denies taking selfie with star as she releases statement saying she will not comment on tragic incident",150,x
"BOOK: CHARLES MANSON’S FIANCÉ WANTED MARRIAGE SO SHE COULD DISPLAY HIS CORPSE IN TOURIST ATTRACTION",151,x
"Claims famous Kurdish Peshmerga fighter Rehana may have been decapitated",152,x
"ISIS Reported to Behead Second American",153,x
"After Beheading of Steven Sotloff, Obama Pledges to Punish ISIS",154,x
"School pupil writes moving letter to her teacher after he comes out as gay",155,x
"Joan Rivers' Doctor Reportedly Took a Selfie Before Her Cardiac Arrest",156,x
"Florida woman gets plastic surgery to add a third breast",157,x
"Report: Woman who claimed to have third breast added is fake",158,x
"Joan Rivers' Doctor 'Took a Selfie' During Procedure: CNN",159,x
"Texas boy, 9, suspended for threatening to use ‘Hobbit’ magic, dad says",160,x
"No, Argentina's president did not adopt a Jewish child to stop him turning into a werewolf",161,x
"Here's What We Know About ISIS's Alleged Organ Harvesting Operation",162,x
"iPhone 6s Rumored to Include 2GB of Faster RAM and 'Force Touch' Technology",163,x
"Isis 'behead their own fighters' for spying and embezzlement in Syria",164,x
"IS reportedly tries to sell slain US hostage’s body for $1 million  Read more: IS reportedly tries to sell slain US hostage's body for $1 million",165,x
"WH won’t say if Foley family was threatened not to pay ransom",166,x
"Report: Joan Rivers doctor took selfie, began biopsy, source says",167,x
"Jihadist Brit teen killed in US air strikes",168,x
"Missing Afghan soldiers taken into custody at Canadian border",169,x
"Police Chief In Charge of Paris Attacks Commits Suicide",170,x
"NHL denies Las Vegas expansion report",171,x
"iPhone 6s Rumored to Include 2GB of Faster RAM and 'Force Touch' Technology",172,x
"Source: Joan Rivers' doc did biopsy, selfie",173,x
"Woman Gets Third Boob to Appear Unattractive to Men",174,x
"Woman has surgery to get third breast: The three most statistically unlikely pairs of boobs",175,x
"Woman with three breasts ‘was a fake who has tricked people online before’",176,x
"Reports: NHL expansion could include Las Vegas, others",177,x
"Argentina President, Christina Kirchner, Has Bizarre Werewolf Mishap",178,x
"Fake or freak? Woman, 21, claims to have paid $20,000 to surgically add third breast in desperate bid to become a reality TV star",179,x
"Apple iPhone Mini with 4-inch Display Set to Replace iPhone 5c: Rumor",180,x
"iPhone 6s Rumor Suggests Dual Lens Optical Zoom Camera, Pressure Sensors Inbound",181,x
"CNN: Doctor Took Mid-Surgery Selfie with Unconscious Joan Rivers",182,x
"Oil spikes on U.S. inventory data, Saudi explosion rumor",183,x
"Islamic State releases video showing beheading of US hostage Steven Sotloff",184,x
"No, Argentina's president did not adopt a Jewish child to stop him turning into a werewolf",185,x
"Adopting Potential Werewolves Is Routine Business for Argentine Presidents",186,x
"Report: Woman who claimed to have third breast added is fake",187,x
"Three-breasted woman outed as fake by Tampa police",188,x
"Reports: Missing Afghan soldiers found at Canadian border",189,x
"Joan Rivers' Doctor Reportedly Took a Selfie Before Her Cardiac Arrest",190,x
"President Sisi's Gift",191,x
"iPhone 6s Rumored to Include 2GB of Faster RAM and 'Force Touch' Technology",192,x
"Breast Chancer",193,x
"United Nations asked to investigate claims of organ harvesting by ISIS",194,x
"Surgery Patient Wakes Up, Asks Doc 'How's It Going?'",195,x
"Joan Rivers: Doctor Took Selfie With Unconscious Comedian, Performed Biopsy Without Consent -- Details",196,x
"Hewlett-Packard to split into two public companies",197,x
"ISIS executioner 'Jihadi John' allegedly wounded by U.S.-led air strike: report",198,x
"Joan Rivers' Doctor 'Took a Selfie' During Procedure: CNN",199,x
"Saudi Arabian airline to separate genders after men complain about blokes sitting next to their wives",200,x
